user_id,run_id,weather,map_name,start_x,start_y,start_z,end_x,end_y,end_z,arousal_start,arousal_end,hr_bpm_start,hr_bpm_end,model_pred_start,model_prob_start,model_pred_end,model_prob_end,emotion_label_start,emotion_prob_start,emotion_label_end,emotion_prob_end,timestamp_start,timestamp_end,frame_start,frame_end,sim_time_start,sim_time_end,details
participant_03,2,day,Town10HD,80.00506591796875,25.418317794799805,0.0015047454508021474,94.13420867919922,25.41819190979004,0.0014828109415248036,1.0,1.0,84,85,None,0.992,pick_floor,0.997,neutral,0.929,neutral,0.685,2026-02-16T11:04:27.906021,2026-02-16T11:04:31.427096,421085,421139,8138.993782509118,8140.883782517165,window_1
participant_03,2,day,Town10HD,107.0671157836914,-12.09057331085205,0.001576652517542243,101.5483169555664,-35.75110626220703,0.0020149610936641693,1.0,1.0,83,70,None,0.995,pick_floor,0.986,neutral,0.722,fear,0.99,2026-02-16T11:04:39.616591,2026-02-16T11:04:43.002091,421264,421317,8145.258782535791,8147.113782543689,window_2
participant_03,2,day,Town10HD,32.78962707519531,-67.944580078125,0.0017823028611019254,24.14047622680664,-67.52638244628906,0.0014196013798937201,1.0,0.898,60,53,None,0.931,None,1.0,sad,0.811,sad,0.935,2026-02-16T11:05:00.258040,2026-02-16T11:05:06.956054,421583,421680,8156.423782583326,8159.81878259778,window_1
participant_03,2,day,Town10HD,-24.817001342773438,-68.31780242919922,0.0014125823508948088,-57.67791748046875,-68.66250610351562,0.0019194793421775103,1.0,1.0,67,63,None,0.986,pick_floor,0.928,sad,0.521,fear,0.998,2026-02-16T11:05:17.728360,2026-02-16T11:05:21.998587,421844,421913,8165.558782622218,8167.9737826325,window_2
participant_03,3,day,Town10HD,45.42109680175781,50.364646911621094,0.0020687102805823088,45.257972717285156,33.9367790222168,0.0020174789242446423,0.536,0.537,57,55,None,0.93,pick_floor,0.986,neutral,0.785,fear,0.937,2026-02-16T11:20:59.905586,2026-02-16T11:21:04.251625,470903,470962,9059.080479223281,9061.145479232073,window_2
participant_03,3,day,Town10HD,63.364959716796875,25.30467987060547,0.0017911148024722934,84.60338592529297,24.920196533203125,0.0019024276407435536,0.535,0.535,60,61,None,0.83,pick_floor,0.981,neutral,0.934,neutral,0.418,2026-02-16T11:21:09.637300,2026-02-16T11:21:13.468245,471037,471090,9063.770479243249,9065.625479251146,window_1
participant_03,3,day,Town10HD,84.06240844726562,-59.592533111572266,0.0018950653029605746,58.02888488769531,-65.85054016113281,0.0018764495616778731,0.457,0.334,71,61,None,0.859,pick_floor,0.994,neutral,0.574,fear,0.824,2026-02-16T11:21:29.583566,2026-02-16T11:21:33.605529,471321,471377,9073.710479285568,9075.670479293913,window_2
participant_03,3,day,Town10HD,10.733407974243164,-67.56592559814453,0.0018743895925581455,-25.72520637512207,-66.63198852539062,0.002016906626522541,0.25,0.257,58,62,None,0.852,pick_floor,0.995,neutral,0.91,sad,0.976,2026-02-16T11:21:40.805198,2026-02-16T11:21:46.092596,471476,471551,9079.135479308665,9081.76047931984,window_1
participant_03,3,day,Town10HD,-110.46257781982422,-16.909982681274414,0.0020572661887854338,-111.21302795410156,-0.6178542971611023,0.0014262008480727673,0.995,0.352,56,52,None,0.868,pick_floor,0.999,neutral,0.396,fear,0.998,2026-02-16T11:22:05.779907,2026-02-16T11:22:10.349173,471829,471892,9091.490479361266,9093.695479370654,window_2
participant_03,3,day,Town10HD,-102.71192169189453,22.53387451171875,0.0018143081106245518,-69.97328186035156,27.85700225830078,0.0018062591552734375,0.265,0.265,56,63,None,0.968,pick_floor,0.998,neutral,0.483,neutral,0.597,2026-02-16T11:22:15.600164,2026-02-16T11:22:22.005312,471958,472037,9096.005479380488,9098.77047939226,window_1
participant_03,3,day,Town10HD,40.638797760009766,41.84249496459961,0.0020956420339643955,40.97153854370117,55.28071975708008,0.0013697051908820868,0.398,0.398,52,50,None,0.912,pick_floor,0.998,neutral,0.937,fear,0.982,2026-02-16T11:22:42.339480,2026-02-16T11:22:46.534090,472302,472358,9108.045479431748,9110.005479440093,window_2
participant_03,3,day,Town10HD,56.3686408996582,70.24357604980469,0.0017082213889807463,88.66887664794922,69.57669067382812,0.0017798995831981301,0.367,0.366,53,66,None,0.942,pick_floor,0.975,fear,0.632,angry,0.816,2026-02-16T11:22:51.726594,2026-02-16T11:22:57.621912,472429,472511,9112.490479450673,9115.360479462892,window_1
participant_03,3,day,Town10HD,57.13709259033203,131.31277465820312,0.0019013213459402323,46.638465881347656,131.2618865966797,0.0016670989571139216,0.608,0.865,62,59,None,0.895,None,0.952,neutral,0.984,sad,0.963,2026-02-16T11:23:15.346688,2026-02-16T11:23:17.774550,472759,472791,9124.040479499847,9125.160479504615,window_2
participant_03,3,day,Town10HD,-0.2760515809059143,130.55384826660156,0.001779746962711215,-20.11384391784668,130.40301513671875,0.0017994308145716786,1.0,1.0,60,60,None,0.862,None,1.0,neutral,0.889,angry,0.496,2026-02-16T11:23:25.281288,2026-02-16T11:23:28.259992,472893,472934,9128.730479519814,9130.165479525924,window_1
participant_03,3,day,Town10HD,-19.998014450073242,69.25537109375,0.0017747115343809128,-0.21102748811244965,70.03883361816406,0.001950225792825222,0.467,0.467,57,56,None,0.864,pick_floor,0.999,neutral,0.74,angry,0.533,2026-02-16T11:23:47.380623,2026-02-16T11:23:51.141892,473186,473236,9138.985479563475,9140.735479570925,window_2
participant_03,3,day,Town10HD,16.026153564453125,70.11941528320312,0.0016304778400808573,27.67418098449707,69.69984436035156,0.001510086003690958,0.467,0.467,57,57,None,0.919,pick_floor,0.996,neutral,0.949,sad,0.963,2026-02-16T11:23:56.599699,2026-02-16T11:24:00.232597,473306,473354,9143.185479581356,9144.865479588509,window_1
